time [seconds],signal [mV]
0+0i,2.15+0i
0.001001001001001+0i,1.7528677781057+0.41206701131548i
0.002002002002002+0i,1.87745639661987+0.37798271315715i
0.003003003003003+0i,1.72259264076392+0.99242531953094i
0.004004004004004+0i,1.31435041328239+0.86817983418326i
0.005005005005005+0i,1.46986865011411+1.12643072572753i
0.00600600600600601+0i,0.89596939231836+1.33182568493873i
0.00700700700700701+0i,0.9153169038537+1.08405389885562i
0.00800800800800801+0i,0.70073659514507+1.48989461510072i
0.00900900900900901+0i,0.27702989119994+1.17217765761327i
0.01001001001001+0i,0.43084706997115+1.25883785235463i
0.011011011011011+0i,-0.13218561508519+1.28669005758113i
0.012012012012012+0i,-0.079005642040612+0.860447017535124i
0.013013013013013+0i,-0.23572856870961+1.07277108124002i
0.014014014014014+0i,-0.54304795446729+0.55606237297217i
0.015015015015015+0i,-0.217855849447219+0.469444869074809i
0.016016016016016+0i,-0.551224873729061+0.361337091551665i
0.017017017017017+0i,-0.223402636154563-0.121341598080264i
0.018018018018018+0i,-0.104475545669382+0.117840373646304i
0.019019019019019+0i,-0.152407964212545-0.290018705668617i
0.02002002002002+0i,0.372202466005766-0.194365063549693i
0.021021021021021+0i,0.168139858288065-0.091841648571553i
0.022022022022022+0i,0.559793741646797-0.349320737833902i
0.023023023023023+0i,0.677288565509999+0.095571034088282i
0.024024024024024+0i,0.600281177489509-0.135415021462411i
0.025025025025025+0i,1.07161997704976+0.12087782893847i
0.026026026026026+0i,0.804806374583972+0.36330922659655i
0.027027027027027+0i,1.12479932762222+0.25381601579282i
0.028028028028028+0i,1.13497357879696+0.84809606812621i
0.029029029029029+0i,0.916499385636845+0.760867401348128i
0.03003003003003+0i,1.18803676424537+1.1444691201135i
0.031031031031031+0i,0.67306900133304+1.45539177119058i
0.032032032032032+0i,0.71945226839131+1.34873509470327i
0.033033033033033+0i,0.44774460907431+1.85660894752439i
0.034034034034034+0i,-0.00941696206776+1.59902718332234i
0.035035035035035+0i,0.08022145720616+1.75743587450311i
0.036036036036036+0i,-0.53831909986493+1.80267459219131i
0.037037037037037+0i,-0.51484849404831+1.43833583233157i
0.038038038038038+0i,-0.75737712945727+1.70906483284729i
