time [ms],B1 [uT]
-1+0i,-3.39652983075971e-17+1.91267484127688e-17i
-0.997997997997998+0i,-0.00199870819420956+0.00016859739098412i
-0.995995995995996+0i,-0.00378222334399633-0.00135733595546096i
-0.993993993993994+0i,-0.00431995510479281-0.00421640366710766i
-0.991991991991992+0i,-0.00290538224083272-0.00751710137875833i
-0.98998998998999+0i,0.0006036435631752-0.0100664968851412i
-0.987987987987988+0i,0.0056852766471004-0.0106947016479157i
-0.985985985985986+0i,0.0112266518910634-0.0085963673481674i
-0.983983983983984+0i,0.0157603668777589-0.0036033339378379i
-0.981981981981982+0i,0.0178152283649276+0.0036844926589698i
-0.97997997997998+0i,0.0163019732417938+0.0119523721868059i
-0.977977977977978+0i,0.0108419463190272+0.0194086577177327i
-0.975975975975976+0i,0.0019548203987175+0.0241642343764912i
-0.973973973973974+0i,-0.00895067380869+0.0246743716042419i
-0.971971971971972+0i,-0.0197968834962461+0.0201442828446895i
-0.96996996996997+0i,-0.0282345508646192+0.0108014936908851i
-0.967967967967968+0i,-0.0321410580662484-0.002038101457156i
-0.965965965965966+0i,-0.0301154611192395-0.0161421295891137i
-0.963963963963964+0i,-0.0218598285512017-0.0287523411485758i
-0.961961961961962+0i,-0.0083540302143267-0.0371251407887557i
-0.95995995995996+0i,0.0082299428591215-0.0391159046620306i
-0.957957957957958+0i,0.0248751898135337-0.0336844660795233i
-0.955955955955956+0i,0.0382736175542994-0.0212081361493186i
-0.953953953953954+0i,0.0454836626483182-0.0035224032591956i
-0.951951951951952+0i,0.0445611675223729+0.0163379447507166i
-0.94994994994995+0i,0.0350302634863391+0.0346633180519164i
-0.947947947947948+0i,0.018086597836977+0.0477681147670514i
-0.945945945945946+0i,-0.003525508301207+0.0527311306028437i
-0.943943943943944+0i,-0.0259565135865178+0.0480289401812835i
-0.941941941941942+0i,-0.0449443276678815+0.0339274611120632i
-0.93993993993994+0i,-0.0566302995453674+0.0125390816126068i
-0.937937937937938+0i,-0.0583412255652344-0.0124842009351831i
-0.935935935935936+0i,-0.0491791903569996-0.0365792099239768i
-0.933933933933934+0i,-0.0302921222865626-0.0551125577793921i
-0.931931931931932+0i,-0.0047559696394356-0.0642775904057335i
-0.92992992992993+0i,0.0229262673624623-0.0618726384892447i
-0.927927927927928+0i,0.0476271092754298-0.0478019924340446i
-0.925925925925926+0i,0.0645541811983955-0.0241893414815139i
-0.923923923923924+0i,0.0701854887877289+0.0049345189315621i
-0.921921921921922+0i,0.0629969070062237+0.0343256365915483i
-0.91991991991992+0i,0.0438323997736538+0.0584819579710145i
-0.917917917917918+0i,0.0158320850056826+0.0726836009412226i
-0.915915915915916+0i,-0.0160833514510777+0.0739198565696941i
-0.913913913913914+0i,-0.046087079806017+0.0615200177755855i
-0.911911911911912+0i,-0.0685222368304836+0.0373569506171601i
-0.90990990990991+0i,-0.0789787936627752+0.0055712186370038i
-0.907907907907908+0i,-0.0751643763801279-0.0281451820615274i
-0.905905905905906+0i,-0.0573963873380866-0.0575803370487067i
-0.903903903903904+0i,-0.0286112799224228-0.0771600419056424i
-0.901901901901902+0i,0.0061228355555877-0.0830134850194739i
-0.8998998998999+0i,0.0405090021539396-0.0737414835264307i
