kx,ky,phasor
-5+0i,-5+0i,-3+0i
-5+0i,-4+0i,1.92705098312484-2.1266270208801i
-5+0i,-3+0i,0.19098300562505+2.48989828488278i
-5+0i,-2+0i,-1.42705098312484-1.31432778029783i
-5+0i,-1+0i,1.30901699437495+0.22451398828979i
-5+0i,0+0i,-1-0i
-5+0i,1+0i,1.30901699437495-0.22451398828979i
-5+0i,2+0i,-1.42705098312484+1.31432778029783i
-5+0i,3+0i,0.19098300562505-2.48989828488278i
-5+0i,4+0i,1.92705098312484+2.1266270208801i
-4+0i,-5+0i,-0.5-0.36327126400268i
-4+0i,-4+0i,0.309016994374947+0.951056516295153i
-4+0i,-3+0i,1.30901699437495+0.95105651629515i
-4+0i,-2+0i,1-3.07768353717525i
-4+0i,-1+0i,-2.73606797749979-0.36327126400268i
-4+0i,0+0i,-1.5+2.71441227317257i
-4+0i,1+0i,3.54508497187474+0.95105651629515i
-4+0i,2+0i,0.30901699437495-2.1266270208801i
-4+0i,3+0i,-1.61803398874989-1.17557050458495i
-4+0i,4+0i,-0.11803398874989+1.53884176858763i
-3+0i,-5+0i,0.88196601125011+2.71441227317257i
-3+0i,-4+0i,-1.85410196624968-1.90211303259031i
-3+0i,-3+0i,0.19098300562505-2.48989828488278i
-3+0i,-2+0i,-2.11803398874989+4.16749732918329i
-3+0i,-1+0i,2.42705098312484+1.31432778029783i
-3+0i,0+0i,2.35410196624968-2.71441227317257i
-3+0i,1+0i,-3-3.07768353717525i
-3+0i,2+0i,-0.57294901687516+3.66546878946773i
-3+0i,3+0i,-0.5+1.53884176858763i
-3+0i,4+0i,2.19098300562505-3.21644081288814i
-2+0i,-5+0i,-0.5+1.53884176858763i
-2+0i,-4+0i,-0.80901699437495-1.31432778029783i
-2+0i,-3+0i,1.73606797749979+1.53884176858763i
-2+0i,-2+0i,-0.809016994374947-0.587785252292472i
-2+0i,-1+0i,0.6180339887499-1.90211303259031i
-2+0i,0+0i,-1.5+2.26538429659299i
-2+0i,1+0i,0.190983005625052-0.587785252292473i
-2+0i,2+0i,2.11803398874989+0.36327126400268i
-2+0i,3+0i,-2.04508497187474-0.58778525229247i
-2+0i,4+0i,1-0.72654252800536i
-1+0i,-5+0i,3.1180339887499-2.26538429659299i
-1+0i,-4+0i,0.11803398874989+3.88998277775752i
-1+0i,-3+0i,-3+0.72654252800536i
-1+0i,-2+0i,3.30901699437495-3.30219752546505i
-1+0i,-1+0i,1.30901699437495-0.22451398828979i
-1+0i,0+0i,-4.35410196624968+2.26538429659299i
-1+0i,1+0i,-0.5-0.36327126400268i
-1+0i,2+0i,4.85410196624968-1.17557050458495i
-1+0i,3+0i,-0.92705098312484+2.1266270208801i
-1+0i,4+0i,-3.92705098312484-1.67759904430051i
0+0i,-5+0i,-3+0i
0+0i,-4+0i,1.16311896062463-3.57971207689082i
0+0i,-3+0i,4.66311896062463-1.31432778029783i
0+0i,-2+0i,-6.66311896062463+4.84103929405267i
0+0i,-1+0i,-3.16311896062463-2.1266270208801i
0+0i,0+0i,11+0i
0+0i,1+0i,-3.16311896062463+2.1266270208801i
0+0i,2+0i,-6.66311896062463-4.84103929405267i
0+0i,3+0i,4.66311896062463+1.31432778029783i
0+0i,4+0i,1.16311896062463+3.57971207689082i
1+0i,-5+0i,3.1180339887499+2.26538429659299i
1+0i,-4+0i,-3.92705098312484+1.67759904430051i
1+0i,-3+0i,-0.92705098312484-2.1266270208801i
1+0i,-2+0i,4.85410196624968+1.17557050458495i
1+0i,-1+0i,-0.5+0.36327126400268i
1+0i,0+0i,-4.35410196624968-2.26538429659299i
1+0i,1+0i,1.30901699437495+0.22451398828979i
1+0i,2+0i,3.30901699437495+3.30219752546505i
1+0i,3+0i,-3-0.72654252800536i
1+0i,4+0i,0.11803398874989-3.88998277775752i
2+0i,-5+0i,-0.5-1.53884176858763i
2+0i,-4+0i,1+0.72654252800536i
2+0i,-3+0i,-2.04508497187474+0.58778525229247i
2+0i,-2+0i,2.11803398874989-0.36327126400268i
2+0i,-1+0i,0.190983005625052+0.587785252292473i
2+0i,0+0i,-1.5-2.26538429659299i
2+0i,1+0i,0.6180339887499+1.90211303259031i
2+0i,2+0i,-0.809016994374947+0.587785252292472i
2+0i,3+0i,1.73606797749979-1.53884176858763i
2+0i,4+0i,-0.80901699437495+1.31432778029783i
3+0i,-5+0i,0.88196601125011-2.71441227317257i
3+0i,-4+0i,2.19098300562505+3.21644081288814i
3+0i,-3+0i,-0.5-1.53884176858763i
3+0i,-2+0i,-0.57294901687516-3.66546878946773i
3+0i,-1+0i,-3+3.07768353717525i
3+0i,0+0i,2.35410196624968+2.71441227317257i
3+0i,1+0i,2.42705098312484-1.31432778029783i
3+0i,2+0i,-2.11803398874989-4.16749732918329i
3+0i,3+0i,0.19098300562505+2.48989828488278i
3+0i,4+0i,-1.85410196624968+1.90211303259031i
4+0i,-5+0i,-0.5+0.36327126400268i
4+0i,-4+0i,-0.11803398874989-1.53884176858763i
4+0i,-3+0i,-1.61803398874989+1.17557050458495i
4+0i,-2+0i,0.30901699437495+2.1266270208801i
4+0i,-1+0i,3.54508497187474-0.95105651629515i
4+0i,0+0i,-1.5-2.71441227317257i
4+0i,1+0i,-2.73606797749979+0.36327126400268i
4+0i,2+0i,1+3.07768353717525i
4+0i,3+0i,1.30901699437495-0.95105651629515i
4+0i,4+0i,0.309016994374947-0.951056516295153i
